Name,matches_played,goals_scored
Edin Dzeko,12,4
Lautaro Martínez,12,3
Nicolò Barella,11,3
Romelu Lukaku,7,3
Henrikh Mkhitaryan,12,2
Denzel Dumfries,11,1
Hakan Calhanoglu,11,1
Robin Gosens,10,1
Joaquín Correa,9,1
Andre Onana,12,0
Alessandro Bastoni,11,0
Francesco Acerbi,11,0
Matteo Darmian,10,0
Federico Dimarco,10,0
Milan Skriniar,8,0
Marcelo Brozovic,8,0
Stefan de Vrij,7,0
Roberto Gagliardini,6,0
Danilo D'Ambrosio,5,0
Kristjan Asllani,5,0
Raoul Bellanova,2,0
Valentin Carboni,1,0
Nikolaos Botis,0,0
Alessandro Fontanarosa,0,0
Dennis Curatolo,0,0
